f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2,target
0.08559700731634513,0.037818986234526245,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.25612526298552335,0.0,0.0,0.0380952380952381,0.565578231292517,0.8070393374741199,0.2906123167214418,0.716289618584991,0.02857142857142857,0.02857142857142857,1.0,0.0,0.0,1
0.024684857958789178,0.010450643613360405,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.15191994393950523,0.0,0.0,0.002857142857142857,0.5007891156462586,0.6532815586892841,0.15322805802781558,0.6127835427753908,0.002857142857142857,0.0014285714285714286,0.5,0.0,0.0,0
0.01769745261487399,0.007907566611242912,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857144,0.1329091826170834,0.0,0.0,0.028571428571428577,0.5000340136054421,0.7020703933747413,0.17373358631786337,0.6351257541876243,0.028571428571428577,0.014285714285714289,0.5,0.0,0.0,1
0.10809148142014775,0.048074668140821765,0.06840555806230711,0.10095238095238095,0.055238095238095246,0.015351206010940312,0.013333333333333334,0.002142857142857143,0.009285714285714286,0.2763436790776738,0.01809523809523809,0.002857142857142857,0.03428571428571429,0.7129809523809524,0.7626405068465155,0.24506437085841437,0.683698079321144,0.002857142857142857,0.002857142857142857,1.0,0.0,0.0,1
0.09391142542208453,0.0421063919220012,0.0,0.0,0.0,0.009755380587839117,0.009523809523809525,0.0011904761904761904,0.009523809523809525,0.25618444256002465,0.019047619047619035,0.0011904761904761904,0.047619047619047616,0.5903741496598639,0.802415458937198,0.30347485394883483,0.7018307306629183,0.028571428571428577,0.028571428571428577,1.0,0.0,0.0,0
0.01917629952070715,0.00818828400916142,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.13537742751910878,0.0,0.0,0.002857142857142857,0.5003693877551022,0.6543088766264732,0.14180653262708062,0.6069480341809328,0.002857142857142857,0.0014285714285714286,0.5,0.0,0.0,1
0.09066529001559824,0.040657796341091505,0.10765454443931592,0.10071428571428571,0.06976190476190476,0.01383132133214452,0.011904761904761906,0.00369047619047619,0.008571428571428572,0.25418814719867466,0.019047619047619053,0.003452380952380952,0.03214285714285713,0.6759431972789116,0.7345990871312759,0.22128722773021522,0.6639198188683126,0.002857142857142857,0.002857142857142857,1.0,0.0,0.0,0
0.12975517217293467,0.04540337379214008,0.004249153171488104,0.09999999999999999,0.0,0.0,0.0,0.0,0.021428571428571425,0.3905549452791525,0.033333333333333326,0.0,0.3238095238095238,0.7322448979591837,0.9617667356797791,0.7729073043358757,0.8618202892111647,0.11428571428571428,0.09999999999999999,0.875,0.0,0.0,1
0.1106135642693651,0.04721948145382582,0.02781520310080238,0.1261904761904762,0.04190476190476191,0.011350604747672919,0.009523809523809523,0.0033333333333333335,0.014523809523809524,0.3973256393602613,0.029523809523809546,0.004047619047619047,0.18476190476190477,0.8689850340136055,0.9874705361400641,0.7281633942612041,0.9362688720030538,0.011428571428571429,0.011428571428571429,1.0,0.0,0.0,0
0.025421151418480545,0.010308826749053876,0.0,0.0,0.0,0.0,0.0,0.0,0.0007142857142857143,0.2667976105858941,0.0,0.0,0.004285714285714286,0.5016054421768708,0.9742094148102732,0.6443600290062547,0.9016621321667059,0.011428571428571429,0.01,0.875,0.0,0.0,1
