model,metric_score,feature_index
AdaBoostClassifier,0.5666666666666667,0
BaggingClassifier,0.5333333333333333,0
DecisionTreeClassifier,0.5666666666666667,0
GradientBoostingClassifier,0.5166666666666667,0
KNeighborsClassifier,0.55,0
LogisticRegression,0.55,0
MLPClassifier,0.5166666666666667,0
NearestCentroid,0.55,0
RandomForestClassifier,0.4666666666666667,0
SVC,0.5833333333333334,0
AdaBoostClassifier,0.6,1
BaggingClassifier,0.5833333333333334,1
DecisionTreeClassifier,0.55,1
GradientBoostingClassifier,0.6166666666666667,1
KNeighborsClassifier,0.6,1
LogisticRegression,0.55,1
MLPClassifier,0.5166666666666667,1
NearestCentroid,0.5833333333333334,1
RandomForestClassifier,0.6,1
SVC,0.5833333333333334,1
AdaBoostClassifier,0.5833333333333334,2
BaggingClassifier,0.55,2
DecisionTreeClassifier,0.5833333333333334,2
GradientBoostingClassifier,0.5333333333333333,2
KNeighborsClassifier,0.5666666666666667,2
LogisticRegression,0.55,2
MLPClassifier,0.6,2
NearestCentroid,0.6,2
RandomForestClassifier,0.4,2
SVC,0.5833333333333334,2
AdaBoostClassifier,0.6666666666666666,3
BaggingClassifier,0.6166666666666667,3
DecisionTreeClassifier,0.6666666666666666,3
GradientBoostingClassifier,0.65,3
KNeighborsClassifier,0.65,3
LogisticRegression,0.5166666666666667,3
MLPClassifier,0.5166666666666667,3
NearestCentroid,0.5333333333333333,3
RandomForestClassifier,0.5333333333333333,3
SVC,0.5833333333333334,3
AdaBoostClassifier,0.6333333333333333,4
BaggingClassifier,0.5666666666666667,4
DecisionTreeClassifier,0.6,4
GradientBoostingClassifier,0.6333333333333333,4
KNeighborsClassifier,0.6,4
LogisticRegression,0.5666666666666667,4
MLPClassifier,0.6333333333333333,4
NearestCentroid,0.5833333333333334,4
RandomForestClassifier,0.5666666666666667,4
SVC,0.5666666666666667,4
AdaBoostClassifier,0.6,5
BaggingClassifier,0.5833333333333334,5
DecisionTreeClassifier,0.6333333333333333,5
GradientBoostingClassifier,0.6,5
KNeighborsClassifier,0.5833333333333334,5
LogisticRegression,0.5666666666666667,5
MLPClassifier,0.5833333333333334,5
NearestCentroid,0.55,5
RandomForestClassifier,0.4166666666666667,5
SVC,0.5833333333333334,5
AdaBoostClassifier,0.8333333333333334,6
BaggingClassifier,0.5833333333333334,6
DecisionTreeClassifier,0.5333333333333333,6
GradientBoostingClassifier,0.3,6
KNeighborsClassifier,0.6,6
LogisticRegression,0.55,6
MLPClassifier,0.5833333333333334,6
NearestCentroid,0.55,6
RandomForestClassifier,0.4166666666666667,6
SVC,0.5833333333333334,6
AdaBoostClassifier,0.5666666666666667,7
BaggingClassifier,0.55,7
DecisionTreeClassifier,0.5833333333333334,7
GradientBoostingClassifier,0.5666666666666667,7
KNeighborsClassifier,0.55,7
LogisticRegression,0.55,7
MLPClassifier,0.5833333333333334,7
NearestCentroid,0.5666666666666667,7
RandomForestClassifier,0.4166666666666667,7
SVC,0.5833333333333334,7
AdaBoostClassifier,0.55,8
BaggingClassifier,0.4833333333333333,8
DecisionTreeClassifier,0.55,8
GradientBoostingClassifier,0.4,8
KNeighborsClassifier,0.4666666666666667,8
LogisticRegression,0.5166666666666667,8
MLPClassifier,0.5166666666666667,8
NearestCentroid,0.5333333333333333,8
RandomForestClassifier,0.4,8
SVC,0.5166666666666667,8
AdaBoostClassifier,0.5666666666666667,9
BaggingClassifier,0.5166666666666667,9
DecisionTreeClassifier,0.6,9
GradientBoostingClassifier,0.4833333333333333,9
KNeighborsClassifier,0.5166666666666667,9
LogisticRegression,0.5166666666666667,9
MLPClassifier,0.5166666666666667,9
NearestCentroid,0.5166666666666667,9
RandomForestClassifier,0.4833333333333333,9
SVC,0.5166666666666667,9
AdaBoostClassifier,0.5333333333333333,10
BaggingClassifier,0.5166666666666667,10
DecisionTreeClassifier,0.5333333333333333,10
GradientBoostingClassifier,0.5333333333333333,10
KNeighborsClassifier,0.4833333333333333,10
LogisticRegression,0.5166666666666667,10
MLPClassifier,0.5166666666666667,10
NearestCentroid,0.5333333333333333,10
RandomForestClassifier,0.5,10
SVC,0.5166666666666667,10
AdaBoostClassifier,0.55,11
BaggingClassifier,0.5666666666666667,11
DecisionTreeClassifier,0.55,11
GradientBoostingClassifier,0.5166666666666667,11
KNeighborsClassifier,0.5833333333333334,11
LogisticRegression,0.55,11
MLPClassifier,0.6333333333333333,11
NearestCentroid,0.5666666666666667,11
RandomForestClassifier,0.55,11
SVC,0.5666666666666667,11
AdaBoostClassifier,0.5166666666666667,12
BaggingClassifier,0.5,12
DecisionTreeClassifier,0.6166666666666667,12
GradientBoostingClassifier,0.5,12
KNeighborsClassifier,0.5,12
LogisticRegression,0.5166666666666667,12
MLPClassifier,0.7,12
NearestCentroid,0.55,12
RandomForestClassifier,0.5,12
SVC,0.5166666666666667,12
AdaBoostClassifier,0.5166666666666667,13
BaggingClassifier,0.4333333333333333,13
DecisionTreeClassifier,0.5333333333333333,13
GradientBoostingClassifier,0.4333333333333333,13
KNeighborsClassifier,0.5,13
LogisticRegression,0.5166666666666667,13
MLPClassifier,0.5166666666666667,13
NearestCentroid,0.5166666666666667,13
RandomForestClassifier,0.4166666666666667,13
SVC,0.5166666666666667,13
AdaBoostClassifier,0.6833333333333333,14
BaggingClassifier,0.6333333333333333,14
DecisionTreeClassifier,0.6333333333333333,14
GradientBoostingClassifier,0.6,14
KNeighborsClassifier,0.6833333333333333,14
LogisticRegression,0.5666666666666667,14
MLPClassifier,0.5333333333333333,14
NearestCentroid,0.6166666666666667,14
RandomForestClassifier,0.6333333333333333,14
SVC,0.6333333333333333,14
AdaBoostClassifier,0.6,15
BaggingClassifier,0.6166666666666667,15
DecisionTreeClassifier,0.6,15
GradientBoostingClassifier,0.5,15
KNeighborsClassifier,0.6166666666666667,15
LogisticRegression,0.65,15
MLPClassifier,0.7,15
NearestCentroid,0.65,15
RandomForestClassifier,0.5,15
SVC,0.65,15
AdaBoostClassifier,0.7166666666666667,16
BaggingClassifier,0.7,16
DecisionTreeClassifier,0.6666666666666666,16
GradientBoostingClassifier,0.7166666666666667,16
KNeighborsClassifier,0.6666666666666666,16
LogisticRegression,0.5833333333333334,16
MLPClassifier,0.9166666666666666,16
NearestCentroid,0.6,16
RandomForestClassifier,0.7,16
SVC,0.5333333333333333,16
AdaBoostClassifier,0.6,17
BaggingClassifier,0.5,17
DecisionTreeClassifier,0.5833333333333334,17
GradientBoostingClassifier,0.45,17
KNeighborsClassifier,0.5166666666666667,17
LogisticRegression,0.5166666666666667,17
MLPClassifier,0.5166666666666667,17
NearestCentroid,0.5833333333333334,17
RandomForestClassifier,0.5,17
SVC,0.5166666666666667,17
AdaBoostClassifier,0.45,18
BaggingClassifier,0.5,18
DecisionTreeClassifier,0.55,18
GradientBoostingClassifier,0.4333333333333333,18
KNeighborsClassifier,0.5166666666666667,18
LogisticRegression,0.5166666666666667,18
MLPClassifier,0.5166666666666667,18
NearestCentroid,0.5,18
RandomForestClassifier,0.5,18
SVC,0.5166666666666667,18
AdaBoostClassifier,0.6166666666666667,19
BaggingClassifier,0.6166666666666667,19
DecisionTreeClassifier,0.6166666666666667,19
GradientBoostingClassifier,0.6166666666666667,19
KNeighborsClassifier,0.6333333333333333,19
LogisticRegression,0.5166666666666667,19
MLPClassifier,0.5166666666666667,19
NearestCentroid,0.5166666666666667,19
RandomForestClassifier,0.6166666666666667,19
SVC,0.6166666666666667,19
AdaBoostClassifier,0.5166666666666667,20
BaggingClassifier,0.4833333333333333,20
DecisionTreeClassifier,0.5166666666666667,20
GradientBoostingClassifier,0.5166666666666667,20
KNeighborsClassifier,0.5166666666666667,20
LogisticRegression,0.5166666666666667,20
MLPClassifier,0.5166666666666667,20
RandomForestClassifier,0.45,20
SVC,0.5166666666666667,20
AdaBoostClassifier,0.5166666666666667,21
BaggingClassifier,0.4833333333333333,21
DecisionTreeClassifier,0.5166666666666667,21
GradientBoostingClassifier,0.5166666666666667,21
KNeighborsClassifier,0.5166666666666667,21
LogisticRegression,0.5166666666666667,21
MLPClassifier,0.5166666666666667,21
RandomForestClassifier,0.45,21
SVC,0.5166666666666667,21
